StepName	TaskName	SampleName	FileList	CanFileEmpty
step_1	dedup_fastq	P_09B	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_09B.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_09B.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_12B	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_12B.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_12B.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_06	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_06.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_06.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_09	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_09.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_09.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_10	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_10.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_10.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_12	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_12.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_12.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_18	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_18.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_18.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_19	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_19.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_19.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_23	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_23.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_23.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_27	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_27.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_27.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_175_33	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_33.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_175_33.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_181	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_181.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_181.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_181F1	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_181F1.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_181F1.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_196	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_196.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_196.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_196F1	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_196F1.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_196F1.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_196F2	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_196F2.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_196F2.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_23B	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_23B.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_23B.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_03	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_03.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_03.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_09	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_09.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_09.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_13	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_13.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_13.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_15	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_15.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_15.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_21	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_21.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_21.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_22	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_22.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_22.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_37	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_37.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_37.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_38	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_38.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_38.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_39	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_39.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_39.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_273_40	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_40.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_273_40.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_31B	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_31B.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_31B.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_38B	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_38B.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_38B.dedup.2.fastq.gz	False,False
step_1	dedup_fastq	P_42B	/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_42B.dedup.1.fastq.gz,/scratch/cqs/shengq2/jennifer/20200407_lindsay_exomeseq_3772_hg38/dedup_fastq/result/P_42B.dedup.2.fastq.gz	False,False
